Address,Price,Beds,Baths,Sizes
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$474,956",4,2.5,"2,244sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$337,400",4,2.5,"1,720sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$415,900",2,2,"1,773sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$390,200",3,2.5,"1,857sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$388,900",3,2.5,"1,857sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$355,400",4,2.5,"1,720sqft"
"Cook's Crossing 7952 Greendale Drive, Byron Center, MI 49315","From$302,700",3,2.5,"1,488sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$430,400",3,2,"1,918sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$335,900",3,2.5,"1,665sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$437,700",4,2.5,"2,296sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$517,700",4,2.5,"2,751sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$541,233",5,3.5,"2,681sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$481,233",3,2,"1,918sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$420,528",1,1.5,"1,552sqft"
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$626,775",4,3.5,"3,338sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$408,400",4,2.5,"2,208sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$377,028",1,1.5,"1,357sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$443,956",4,2.5,"2,208sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$400,900",1,1.5,"1,364sqft"
"Trillium Ridge 22nd Avenue, Hudsonville, MI 49426","From$405,022",2,1.5,"1,552sqft"
