Address,Price,Beds,Baths,Sizes
"460 W 236th St Apt 3B, Bronx, NY 10463","$650,000",2,2,No display data
"1670 Metropolitan Ave Apt 6C, Bronx, NY 10462","$190,000",1,1,613sqft
"40-25 217th St, Bayside, NY 11361","$999,000",3,1.5,"1,959sqft"
"119-26 192nd St, Saint Albans, NY 11412","$899,000",4,4,No display data
"393 E 58th St, Brooklyn, NY 11203","$699,000",4,3,No display data
"1207 Tinton Ave, Bronx, NY 10456","$1,150,000",8,5,No display data
"186 Riverside Dr Unit 1C, New York, NY 10024","$775,000",1,1,No display data
"20014 McLaughlin Ave, Hollis, NY 11423","$1,050,000",5,2.5,"1,878sqft"
"108-21 44 Ave, Corona, NY 11368","$775,000",3,1,"1,272sqft"
"2160 E 26th St, Brooklyn, NY 11229","$1,349,000",4,3,"2,544sqft"
"14945 Hawtree St, Ozone Park, NY 11417","$1,600,000",7,6,"2,400sqft"
"14957 Hawtree St, Ozone Park, NY 11417","$1,600,000",7,6,"2,400sqft"
"14956 Hawtree St, Ozone Park, NY 11417","$1,850,000",6,5,"2,100sqft"
"304 E 65th St Apt 30C, New York City, NY 10065","$1,650,000",2,2,"1,000sqft"
"80-57 89th Ave, Jamaica, NY 11421","$929,999",5,2.5,"1,408sqft"
"1837 67th St Apt 3R, Brooklyn, NY 11204","$658,000",3,2,786sqft
"6604 Forest Ave, Ridgewood, NY 11385","$1,655,555",15,9,No display data
"1 Hanson Pl Apt 10A, Brooklyn, NY 11243","$890,000",1,2,824sqft
"784 Park Ave Unit 12B, New York City, NY 10021","$7,995,000",3,4,No display data
"130 E 67th St Unit 6C, New York, NY 10065","$2,750,000",2,2.5,"1,900sqft"
"101-19 44th Ave, Corona, NY 11368","$1,195,000",6,2.5,"1,482sqft"
"15 Hudson Yards Unit 71B, New York, NY 10001","$9,975,000",4,4.5,"3,039sqft"
"174 13th St, Brooklyn, NY 11215","$2,495,000",5,5,"2,500sqft"
"535 Beach 136th St, Brooklyn, NY 11694","$1,450,000",4,3.5,"2,402sqft"
"179 Ocean Pkwy, Brooklyn, NY 11218","$405,000",1,1,700sqft
"626 Madison St, Bed Stuy, NY 11221","$2,400,000",6,4.5,"4,160sqft"
"500 E 83rd St Apt 18G, New York, NY 10028","$1,750,000",2,2,"1,600sqft"
"445 5th Ave Apt 23G, New York City, NY 10016","$955,000",1,1,660sqft
"21 S End Ave Apt 605, New York City, NY 10280","$1,390,000",1,2,810sqft
"200-01 116th Ave, Saint Albans, NY 11412","$1,089,000",5,3,No display data
